Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS,league
アドゥワ　誠,Carp,480,投手,2,196,83,O型,右,右,熊本,1998-10-02,48,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.69,4,2,0,5,0.667,233,53.2,51,2,26,2,28,23,22,1.43,4.07,C
天谷　宗一郎,Carp,2200,外野手,17,178,84,O型,左,左,福井,1983-11-08,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
髙橋　大樹,Carp,550,外野手,6,181,86,O型,右,右,大阪,1994-05-11,50,0.333,6,16,15,5,0,0,0,1,0,4,0,1,0.375,0.4,0.775,4.71,4.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
鈴木　誠也,Carp,9e3,外野手,6,181,96,A型,右,右,東京,1994-08-18,51,0.34,93,383,312,106,25,77,4,63,4,83,0,3,0.452,0.667,1.118,11.14,10.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
庄司　隼人,Carp,630,内野手,9,175,76,A型,右,左,静岡,1991-06-21,52,0,12,15,14,0,0,0,0,1,0,2,0,0,0.067,0,0.067,-2.14,-1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
戸田　隆矢,Carp,1800,投手,7,181,80,A型,左,左,兵庫,1993-06-10,53,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,15,3,3,0,3,0,2,1,1,2,4.79,C
船越　涼太,Carp,700,捕手,3,178,85,O型,右,右,千葉,1993-11-26,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
エルドレッド,Carp,11500,内野手,7,196,126,不明,右,右,アメリカ,1980-07-12,55,0.213,38,94,80,17,5,14,0,11,3,19,0,3,0.33,0.513,0.842,5.38,5.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
辻　空,Carp,450,投手,6,184,91,O型,右,右,岐阜,1994-04-24,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
オスカル,Carp,900,投手,3,178,80,O型,左,左,ブラジル,1991-03-28,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
